start[seconds]	end[kBq/cc]	AIF
0	10	0.474682837
10	20	1120.691024
20	30	306.4880531
30	40	230.3245431
40	50	222.910983
50	60	144.462777
60	80	126.4590222
80	100	107.3630077
100	120	91.10122412
120	140	79.09875308
140	160	67.67961972
160	180	63.88351456
180	240	64.05392817
240	300	66.0714129
300	360	67.0052271
360	420	71.29284881
420	480	74.93761
480	540	73.38471816
540	660	71.50727323
660	780	71.67764075
780	900	69.9469666
900	1020	72.9523153
1020	1140	67.37565264
1140	1260	69.17138555
1260	1380	67.60412224
1380	1500	66.8923092
1500	1800	64.18505211
1800	2100	62.88942145
2100	2400	59.74822342
2400	2700	56.69561526
2700	3000	53.0401104
3000	3300	52.82217735
3300	3600	49.74382338
