time[seconds]	end[kBq/ml]	NAC.L	NAC.R	Striatum.L	Striatum.R	ACC.L	ACC.R	mPFC.L	mPFC.R	MCortex.L	MCortex.R	oFC.L	oFC.R	Midbrain.L	Midbrain.R	VTA.L	VTA.R	Thal.L	Thal.R	DMS.R	DMS.L	VLS.R	VLS.L
540	660	442.7761714	460.2017894	510.4423054	495.0506028	492.4691344	480.7700596	578.4923909	524.3372155	425.4683066	401.7339379	434.2584889	409.6423497	589.1592701	571.7699098	540.7257647	488.843516	604.0959783	613.0029944	509.2734644	516.657196	529.4698721	528.2393523
660	780	485.82631	448.1552779	531.4026356	518.4384734	484.1304419	482.9892893	577.4474453	557.7363652	417.6839618	404.794175	457.7135231	420.9107454	613.5128092	623.1273871	520.4971463	489.0326201	632.657803	632.4587074	575.7738067	560.9621834	560.1679924	510.8338264
780	900	484.0099915	505.3060212	571.0009747	509.7641521	505.6480635	491.8151163	551.4720861	533.1693868	431.4154304	425.9346918	451.8356354	457.08902	656.6892215	663.9405197	546.4947567	527.7005708	647.973884	637.271268	625.7462676	568.6367454	560.7465332	535.4383731
900	1020	524.8764532	436.2320673	583.9930285	535.2587123	481.3772461	511.3783152	544.5997929	580.9032379	434.150482	452.5412664	485.5663149	489.8048205	614.1112607	642.9942866	514.132737	477.9723921	636.1340078	659.240502	582.7227849	551.6125874	604.8341563	575.9891255
1020	1140	438.4049864	470.1077776	569.1028958	526.5527484	536.20063	519.5028328	533.9234738	555.3008151	445.2800992	443.7673587	486.6053146	451.9703069	581.5760438	620.3892093	493.7318102	507.0284619	639.3894788	650.3440904	652.1307551	604.1943959	568.3413572	574.1046961
1140	1260	538.9284486	487.7703121	586.8351936	498.2126569	519.8818378	531.6849965	627.6015219	585.6476965	444.4004742	441.3989911	463.1725622	433.7502679	610.0841716	628.6117729	529.3250268	488.6685411	668.0772708	641.1084562	571.6488556	595.0601753	576.996956	619.0370444
1260	1380	524.5917244	440.043449	588.0546383	520.4677394	516.0841868	559.4107177	581.7767332	600.8096132	445.6288231	471.8517033	451.3764834	476.7052722	588.153494	636.6947611	516.7550312	470.9467622	607.8199492	655.4812235	578.2907854	622.8165327	578.9743422	639.2662921
1380	1500	506.9949933	478.5700161	588.4511815	518.5507135	514.6940727	520.004924	586.3892174	561.2398475	442.9340135	423.8346559	443.8213008	446.909643	574.2801208	657.2319533	498.5207711	554.1627581	620.1067485	619.0321347	544.48758	644.9288725	609.5764342	624.5698429
1500	1800	473.4026019	464.85519	569.8679942	501.0825213	527.596303	512.7816697	571.1872732	572.8660392	446.0647126	430.0151408	439.8076666	452.0453969	568.9654076	608.7690861	475.4648476	487.453126	606.113783	609.2766942	559.7039919	584.2703127	590.1398006	595.8616586
1800	2100	454.2662203	482.6008137	543.595063	502.8102684	479.7069698	468.1945471	585.9060672	548.598685	417.0284726	402.1568935	439.4965184	423.5879012	551.5038384	565.3187334	470.4277221	448.0320385	588.4642131	579.8240881	612.9327594	598.1994498	598.4439312	572.6992445
2100	2400	461.8474545	461.6700277	533.2001119	481.4518562	478.6328465	477.6151172	543.3947985	541.418615	415.2632152	399.2249529	404.5325861	389.1515907	532.8816544	551.6421265	421.6706863	429.229608	553.686412	563.1513617	540.8218032	591.0758295	528.2192072	580.1363842
2400	2700	425.1672113	403.9733959	490.7849026	462.6887193	473.9727951	474.1952452	516.0816123	529.493167	389.0693902	386.3305074	409.7825993	386.0373501	475.4083003	499.0675791	397.381694	394.4319463	515.6797432	545.6881374	538.3291423	542.6735782	581.3002095	548.9886485
2700	3000	408.2500288	445.6657244	478.7434751	436.9594841	429.418896	437.0526931	495.614453	527.596916	378.3148243	359.3440391	352.8566968	389.6728375	474.8793606	455.6449943	353.4498768	365.3319565	478.6013393	497.6967125	542.2696754	502.2137209	497.1993715	503.4866459
3000	3300	403.9023516	362.6818944	471.1260573	403.5574323	393.3201861	424.5639172	462.325946	480.4084019	365.1948025	359.3005175	350.096605	347.5755137	409.9531607	405.6402394	342.6520038	339.6187685	453.5873766	490.7696497	495.4950119	529.3975844	452.1811597	497.506562
3300	3600	348.7686469	339.8357018	412.5048999	371.5912263	365.1273134	396.756302	416.2646699	466.801552	358.3111385	306.4915363	342.3399975	337.4761611	402.0940631	403.8831041	302.9377284	312.2630721	448.9129202	442.7254167	491.0706536	490.70727	444.3390257	474.6460894
