start[seconds]	end[kBq/cc]	NAC.L	NAC.R	Striatum.L	Striatum.R	ACC.L	ACC.R	mPFC.L	mPFC.R	MCortex.L	MCortex.R	oFC.L	oFC.R	Midbrain.L	Midbrain.R	VTA.L	VTA.R	Thal.L	Thal.R	DMS.R	DMS.L	VLS.R	VLS.L
0	10	0.247725135	0.134749415	0.093000748	0.04756874	0.007431129	9.90E-06	0.074656975	0.039419678	0.015250533	0.002717574	6.07E-05	0.026529929	0.009185341	0.036355607	3.46E-05	0.11919624	0.011429455	0.431158843	0.004160531	0.168423822	0.017812797	1.17E-07
10	20	130.4428448	101.2796991	147.2432616	157.0871534	76.14987276	58.85534886	144.2986823	130.0732981	89.33838121	94.54685164	127.9948042	99.81632335	224.9920973	151.6875218	146.0630665	166.8408988	184.4566185	146.6212624	102.2423257	185.2788321	256.4205832	123.0984757
20	30	271.9898461	251.2216869	284.390543	235.9504446	224.0616814	279.4289501	316.2712321	258.249171	192.8498973	206.3105526	283.5620287	258.2133355	405.0943352	337.7732766	297.1780262	277.5896415	358.0845385	473.5167708	226.3933141	323.595485	272.2655183	289.4383238
30	40	318.4832242	182.5878075	296.0055971	280.575926	319.8110878	325.7519524	378.998216	327.7417088	164.1833086	247.8694622	240.8489135	291.4542598	363.7972592	314.7105443	340.1736959	365.6929679	402.547715	376.7042326	226.1899636	372.6976345	304.0622789	259.7400931
40	50	219.8054347	236.0595979	309.1134269	331.7697479	331.6951096	318.722304	333.4447795	329.6536745	243.9250844	250.1757404	278.2747909	311.4649991	458.1318668	389.0229477	470.9928479	362.4719039	437.1203358	374.1517633	388.8159596	278.964901	273.4753232	351.5686324
50	60	371.2644547	371.4092976	327.2242122	297.3473647	264.8194619	231.3734616	330.7080301	289.1533699	228.9149785	291.3384471	312.0586479	338.2330181	410.0471605	441.5991502	356.8737729	384.7852312	386.3666599	391.7831796	282.4181754	361.2325156	251.5736193	287.5891275
60	80	361.2667741	292.0896963	320.4240552	365.9656531	288.130845	300.8277304	376.9473105	421.5196976	259.3650679	252.292271	318.8292654	301.3944313	499.1791722	457.8862762	463.8021792	364.1923707	475.3155331	439.3211662	374.969519	327.9583696	396.0439318	286.0758708
80	100	285.4493024	291.5091862	379.3266662	383.1385139	331.2814257	321.1187145	440.6083438	517.6152659	312.7680392	300.3060673	319.1361118	302.2160876	509.2327203	381.8060326	394.4223306	335.9526522	498.9568097	391.9487805	402.2722181	355.7711516	398.1211228	459.057528
100	120	296.2814896	355.3078288	361.6518438	380.3427958	368.0821317	344.2835866	407.785676	406.9941032	315.6270826	288.3578739	335.9406596	323.3997436	522.0664573	430.2459512	445.4938048	366.5204368	460.8606743	467.9721445	365.6125252	406.1328664	386.9902653	335.9946836
120	140	358.6903876	369.0820849	379.1592965	389.4197954	363.9681881	366.1905014	438.4434563	442.8052279	308.0365865	327.0622385	332.8469617	347.9972012	560.2080311	450.9242067	510.2942349	427.2873201	503.7871692	463.5376484	403.0724712	404.5163741	408.3462585	355.5733327
140	160	382.2465682	315.6532172	454.6363387	398.1897762	338.9501139	325.5743217	420.354853	497.4034613	345.2719338	321.2789006	331.800952	320.1005039	536.9623838	463.3648639	422.9459016	328.1174329	554.2667374	505.849224	421.3605549	453.4498678	386.2582903	458.4262403
160	180	320.9629187	355.5365589	415.8093492	409.9763914	405.6030611	361.5940009	521.7545169	429.9760273	347.7563486	335.2111392	344.2622701	346.0640221	579.6332917	452.3541871	425.9985387	382.1197803	503.0247612	516.7974491	475.5812052	398.7912147	478.977034	523.07815
180	240	353.0134839	338.8428729	421.653147	414.3535079	419.4318316	406.3649332	412.2826014	409.5207473	315.9124914	328.7797206	315.8883046	340.9258219	541.7047952	464.4152592	474.3314554	428.5680715	517.695557	518.2256888	455.3142853	457.2397032	493.1600529	414.2519162
240	300	386.9668276	368.9293674	443.7066646	420.423182	413.0121792	397.6293361	431.6946438	450.5843925	361.7946507	331.5659373	358.6651004	331.6351337	579.3390832	474.9196964	471.7629108	402.1164546	608.6656133	507.7411992	407.3813614	472.0322595	454.7231569	431.1561883
300	360	416.8322438	320.744838	469.421696	429.8219208	388.4399423	429.8990548	406.0701722	446.3307139	329.7191088	340.932404	357.4838148	360.2660077	548.7555034	504.4342615	516.7896784	359.1543709	584.5835219	529.0034014	499.5286307	544.8997338	496.6728786	438.1245627
360	420	415.9832941	375.9554112	485.6076193	446.4069913	419.0329951	453.7087079	462.1026327	505.7540633	351.7648095	376.710649	367.1924553	366.2963466	551.7322084	518.6750122	500.9590024	394.4631952	599.790495	544.2537148	472.64485	499.5763095	493.5887684	544.6107227
420	480	360.4626391	388.9356627	501.7659716	456.4593652	425.4009381	423.7053353	491.1645558	443.7346767	378.5589468	386.9584438	383.0588748	360.1868962	597.5299042	527.8460828	469.907244	430.1133611	622.9976297	566.8074262	523.6723957	480.5707201	469.4039648	605.1603103
480	540	403.8395543	346.6694159	507.6273706	472.3547113	458.2912475	439.9911345	508.6866581	490.3467488	386.8308069	383.3937469	386.1536569	373.7089978	604.3570191	499.4498781	540.544393	416.2194963	603.8943506	576.9697956	519.7885136	472.7975311	509.8693122	560.2460712
540	660	417.557055	423.9436316	522.8807508	490.4011813	472.8975418	464.0669084	502.0151864	522.7166887	410.6030537	390.2845194	377.5705891	371.2469128	623.7524352	551.7048862	522.377833	420.2525759	631.2705788	557.2424241	509.2734644	516.657196	529.4698721	528.2393523
660	780	490.9036159	397.6085171	533.6601663	495.2902375	477.9293448	469.7883919	497.4516209	556.4572419	426.8172253	399.2073577	362.0389695	414.1943246	602.8470124	571.5775845	483.1465936	449.8772547	636.0211717	570.6569667	575.7738067	560.9621834	560.1679924	510.8338264
780	900	465.0637433	488.563895	556.4293117	500.5620844	497.2324724	507.7843097	555.1299173	557.4570436	411.6624988	414.2670332	423.9751945	411.5312137	657.4435078	591.8159306	583.5142749	462.0954694	644.590205	599.1993322	625.7462676	568.6367454	560.7465332	535.4383731
900	1020	472.5560388	428.5627462	557.9561283	523.3079684	497.7862754	529.5223461	552.1513503	566.5813348	432.2933333	470.7111176	414.496937	425.9098639	646.4651549	552.8728937	483.8971371	424.1233192	690.7291837	616.3838559	582.7227849	551.6125874	604.8341563	575.9891255
1020	1140	431.2096688	433.7953091	571.5929429	527.7525018	511.5240497	504.017538	611.7568255	646.6830224	432.8999496	443.3670898	423.6592985	439.7266884	648.8309027	547.2512521	494.1928611	490.6758944	680.7670256	645.489808	652.1307551	604.1943959	568.3413572	574.1046961
1140	1260	442.2274021	492.8649417	580.5892006	529.1250763	524.9773141	532.0837284	578.830555	590.2111975	443.6182068	442.2792471	421.2318101	431.4711192	637.5069492	584.68616	523.6820705	473.1185476	686.5297131	608.4729695	571.6488556	595.0601753	576.996956	619.0370444
1260	1380	476.0757955	498.6794653	589.4269483	528.4791457	503.8336754	543.2963021	563.6782285	635.0537247	471.985164	484.558878	427.9219999	453.3872428	623.2961564	583.0322945	532.1983516	478.7729815	677.8656787	599.9039027	578.2907854	622.8165327	578.9743422	639.2662921
1380	1500	493.0462364	447.0700419	588.2571638	533.0093078	534.8295009	545.6802037	575.0367121	599.3551205	432.3798274	431.054857	438.7334725	426.299399	615.1093261	534.8083721	514.3476544	443.8664157	698.0999451	605.6646195	544.48758	644.9288725	609.5764342	624.5698429
1500	1800	483.615023	450.679535	582.0659087	530.0279692	532.7779387	546.5339622	575.1126066	587.3575994	434.4576916	447.958258	424.7627982	467.4143881	630.8488539	542.9535731	476.5496867	409.6901372	688.9708674	626.7011458	559.7039919	584.2703127	590.1398006	595.8616586
1800	2100	495.5130064	496.8140165	566.2718324	525.9897368	522.4337551	530.6479576	549.2038616	558.3517601	421.7042463	433.8887597	408.4194298	413.3574123	603.3556176	560.3283454	471.4103066	428.2944349	669.0499208	585.272022	612.9327594	598.1994498	598.4439312	572.6992445
2100	2400	464.8161756	466.3411251	557.8647377	518.8683779	511.3761754	518.5214804	561.9785155	594.8841028	432.3590257	419.4239532	422.5839787	438.5389983	582.7478779	526.9453582	435.1044669	390.1479514	636.0553242	587.5492979	540.8218032	591.0758295	528.2192072	580.1363842
2400	2700	440.1900311	443.1051861	523.8759533	504.1935055	515.4081198	525.9656073	529.2678346	554.3713013	393.1194866	408.1184115	382.5046855	407.1871857	540.5053407	484.4622431	430.1212255	401.8621522	620.7338007	551.7804193	538.3291423	542.6735782	581.3002095	548.9886485
2700	3000	473.7748654	410.2090565	492.2443734	475.3877407	466.2592766	467.4829184	533.112046	521.4387518	394.3752348	372.6637985	366.0291986	389.229132	497.3813528	459.3161366	413.7978204	324.6627498	578.1098227	538.4911069	542.2696754	502.2137209	497.1993715	503.4866459
3000	3300	419.4130425	365.992841	477.2447104	452.5517983	438.950036	447.7971796	505.7635412	526.6961624	364.8328103	362.3554805	341.9849092	386.9909583	470.3064017	419.0906739	390.9522603	359.7615204	550.1073312	508.4041725	495.4950119	529.3975844	452.1811597	497.506562
3300	3600	340.7475273	388.4170494	460.4233636	447.0679151	403.1039407	430.1407428	559.9442348	498.3011289	323.253957	350.1390935	340.4886125	329.8656544	490.9632457	437.2368486	405.689763	316.854619	535.3840659	492.0363056	491.0706536	490.70727	444.3390257	474.6460894
