start[seconds]	end[kBq/cc]	AIF
0	10	33.83316694
10	20	974.4136682
20	30	303.1490569
30	40	201.200152
40	50	195.2646156
50	60	136.9482952
60	80	110.6489225
80	100	88.46531512
100	120	77.96362241
120	140	65.44877025
140	160	62.20491389
160	180	60.24518552
180	240	54.46100653
240	300	55.75319717
300	360	57.61388643
360	420	61.57647561
420	480	63.43910358
480	540	64.57407323
540	660	66.10244099
660	780	64.703275
780	900	65.74229474
900	1020	62.43371003
1020	1140	64.61839949
1140	1260	63.38817541
1260	1380	60.18666048
1380	1500	60.90841502
1500	1800	57.6509972
1800	2100	56.9127695
2100	2400	55.69684764
2400	2700	51.05629299
2700	3000	47.15941793
3000	3300	48.78415999
3300	3600	45.64973519
