start[seconds]	end[kBq/cc]	NAC.L	NAC.R	Striatum.L	Striatum.R	ACC.L	ACC.R	mPFC.L	mPFC.R	MCortex.L	MCortex.R	oFC.L	oFC.R	Midbrain.L	Midbrain.R	VTA.L	VTA.R	Thal.L	Thal.R	DMS.R	DMS.L	VLS.R	VLS.L
0	10	111.5386334	97.87028968	90.72560431	98.61487608	77.51661958	83.56744785	134.2415904	61.05813729	47.14715937	97.90906884	111.1542492	72.13640604	132.806578	167.2515457	116.139734	133.181182	100.0041727	144.5655955	97.15360122	125.2376248	89.81765747	59.84042112
10	20	288.709279	279.0985549	292.9462715	260.5155425	236.414818	229.3647278	222.9542913	253.4084512	204.2496709	243.4886529	253.5262443	240.1666557	323.2524462	377.1899453	241.8597471	268.122173	289.9055245	349.4742411	305.5224615	337.2417426	218.6436896	287.6759508
20	30	285.0129943	311.2290463	328.4856107	268.9864934	296.9239173	298.7172561	332.2518183	316.444084	239.423457	277.1993719	300.4324505	285.2985776	487.7706454	373.7518614	344.047455	325.1166559	378.8031419	395.2018357	282.6616132	333.8443121	225.9655544	328.3713957
30	40	387.5593129	231.621098	299.6745155	331.6845794	260.4187749	297.9561231	410.4176216	365.2412765	218.2570997	295.7432403	372.0141923	259.4253973	411.8234404	425.4495196	297.5405356	364.6859667	364.1388509	365.9155947	356.6082571	315.9504304	310.9947086	282.3234333
40	50	370.4261892	382.925282	320.3414947	351.1966643	327.3258732	355.9776467	351.9633845	303.024865	281.7757348	344.0340911	401.4569775	270.4679745	364.4190398	504.2581186	305.6936571	437.0842262	385.1603672	540.0306553	353.7004165	328.2859428	399.2517074	274.3011103
50	60	301.2077569	297.6118848	342.1032437	377.8076093	422.0066652	333.5645286	394.138975	342.6888188	344.9238598	288.0789608	392.237504	376.5996527	447.1636287	468.3819091	316.0439682	406.2633209	415.2003342	487.2069679	424.3211503	404.6353603	363.9954806	265.4878318
60	80	278.4246094	333.4074778	386.287476	391.3518086	400.198691	369.0828414	375.2405757	360.458058	321.8963301	305.634494	331.3770412	356.2300405	492.3568496	438.0139996	379.628444	346.9566716	500.4915922	483.9547551	415.0731519	403.2076885	375.9492172	440.5768651
80	100	318.2995332	361.1259785	449.4113656	375.7620157	375.6771103	387.2361159	380.2848458	345.2868704	328.006144	330.278731	323.4527498	315.2970881	391.7752836	449.090215	347.6532732	294.2728557	442.1758429	477.5285566	447.5848162	445.9694597	332.6206005	523.2565928
100	120	369.4692582	329.7104698	385.8995684	375.7021623	366.8972407	349.5560815	402.2819954	437.0857024	333.7998257	329.8516516	372.5473179	350.2122134	458.152069	514.6034507	368.9123649	363.1829601	465.1917582	526.0915625	364.6287046	401.5978472	411.0570581	382.4386057
120	140	334.5644159	332.3824608	422.0612364	367.9882876	362.0359236	404.5301964	407.5420292	371.3947173	340.9963422	363.2102248	382.2390233	343.5956479	483.4861543	467.1525237	400.0936472	351.3718171	469.1496032	522.4865262	417.3771246	435.732815	351.5992241	467.9761585
140	160	336.9301268	282.6124227	399.373286	430.2869669	388.1475396	381.349594	403.0154062	390.6599608	371.0889521	356.0850449	385.421145	344.2187035	538.5544183	439.9083084	399.5015919	389.8508391	542.976072	526.5140328	479.6258262	435.9838765	468.9159916	422.865146
160	180	371.1552073	312.8800693	424.6775002	414.1536607	397.266421	390.7916488	384.7799957	328.3337016	351.5956398	376.645557	354.6099404	359.6339602	504.7887246	487.8523071	431.6777553	360.4894887	542.2625212	474.2381201	390.0104727	470.4446942	473.283306	416.1956808
180	240	386.679197	331.627021	432.4941295	423.5484962	387.9580613	373.902925	488.79549	466.6761909	364.5119132	369.9891186	337.1031474	375.2569742	479.6233801	499.2076296	376.3127676	369.0286542	527.9286473	505.1958198	454.7270336	469.9337572	424.4045384	431.4109108
240	300	394.9775714	380.8109	475.9692324	418.8318505	395.8120292	412.6148892	446.907193	478.0999879	347.8206979	355.9485529	342.3582098	403.2930994	515.7664484	510.9390061	415.951366	394.6656089	515.8025976	516.6500547	433.2915957	509.683728	394.5635807	494.9956972
300	360	375.5198672	342.2705129	472.5659247	436.0537714	420.2129871	426.1806071	496.7582653	505.2620219	362.7066172	379.9805552	369.1404202	387.1660363	528.7937589	534.4654157	405.8797995	394.8003634	539.4945899	587.8005862	434.1353031	494.2619652	470.7883437	485.7028992
360	420	425.9446131	386.7784456	460.2117485	461.3049945	443.4996544	426.3312888	469.7482237	466.9579143	374.7622506	398.4898187	402.0160191	394.8883068	501.2703773	513.7360497	362.8473439	395.489577	551.9384258	554.6408681	510.7178386	488.41013	453.4930334	454.3862131
420	480	436.3644043	376.9988421	498.1057635	465.6636192	430.1031017	438.9731756	500.0796298	495.9846197	389.4669182	401.6529106	406.6335863	418.5644502	486.0243339	560.8167389	381.7986104	365.8219323	576.3463274	558.2826747	521.1093509	518.1623212	446.5809335	533.6414325
480	540	418.1343994	405.5416089	503.7792759	476.1862529	507.0624487	483.2388121	586.1233733	531.4496281	414.1242891	417.2329956	409.7048447	417.2646546	577.5450147	528.0783899	406.0138001	442.3200863	611.1791761	612.6300698	471.14189	545.9702499	525.7331403	534.1864861
540	660	455.9709213	438.7954367	503.3973763	491.6683431	485.4753016	479.3003095	572.4792193	525.1101043	439.3000947	435.7997282	451.209455	419.5533797	562.0358293	529.3927201	471.7177641	422.5769974	604.9524641	610.2360685	525.7564261	509.0294905	498.8259663	517.7033591
660	780	497.4829041	423.1980161	521.4358074	515.442239	484.6917205	486.9840729	564.7339145	561.4764675	426.5833352	433.3290847	476.5781499	439.4253534	576.6616848	574.9857363	447.9679248	410.2158834	631.8584205	631.3915003	544.7785207	544.0164331	529.5458682	535.8224831
780	900	500.281152	465.8963154	564.5009308	504.8151861	500.8753526	487.3853016	550.0622717	528.928701	436.2772044	452.9131733	471.7938323	468.0380191	621.2994259	617.7048756	458.3628157	420.523663	644.4101249	636.3131329	546.5095101	618.5252152	482.0435158	574.934857
900	1020	542.776587	407.9927789	574.0921907	528.2215382	481.8074034	508.0300109	530.1681172	569.2358336	440.5549004	485.4265411	501.4124877	503.6254775	581.0633793	576.30385	457.3591531	386.5699958	636.9133253	659.4864588	562.9207249	619.4204485	529.8662723	580.5576832
1020	1140	452.3112656	434.5738352	563.9065938	550.6927433	536.4223826	515.3465309	531.2826993	550.3634922	450.2198845	480.3784165	505.0284512	471.4424982	545.1679659	556.280364	442.3722998	427.8728329	636.8007891	636.193701	594.4431831	600.8745485	554.8076719	581.3803765
1140	1260	553.824385	465.0475248	578.1263531	561.8945974	516.8248948	526.9826922	621.2348109	592.9358955	457.408992	473.4232339	490.9611297	449.2379138	567.0206435	583.3169807	453.5262119	393.9664378	666.0737318	641.9807489	608.9447422	611.5443007	597.7804848	594.7981176
1260	1380	547.1295696	410.3976546	577.4623633	530.5790494	516.3516727	556.6176295	580.7515043	599.1007344	459.7570195	510.8398173	472.2542097	488.9729369	556.0993249	556.4674952	453.1659956	407.2311248	598.6665771	648.0194887	566.7513395	615.7601642	528.6226235	582.9392907
1380	1500	524.0269288	446.0098613	577.9123443	557.7134761	514.8733056	518.7401898	577.5679702	563.0458487	455.8000454	451.0134326	462.9866659	463.0326877	542.7859094	630.8357223	439.142727	437.8353102	616.6939163	614.0245933	608.4204127	617.9028255	571.81963	597.6061898
1500	1800	492.6923732	428.8585917	562.8097693	509.8957155	520.7126875	508.9648848	569.4506746	567.8849165	460.3441029	469.0004632	458.8357886	463.5167561	527.5373782	549.835448	405.6076806	390.6278855	605.0436787	610.6486577	534.9050244	608.0887567	518.2138969	569.4336808
1800	2100	473.305437	455.0962588	537.5664104	508.3461466	475.0094572	471.3042263	567.1510109	535.3201966	426.6873407	439.8095738	462.1029621	435.2869733	518.733348	504.9389787	406.4141236	362.513587	591.2444809	581.3233138	552.0371466	565.4687482	493.1766973	564.1308697
2100	2400	477.2560142	432.7448234	525.9395669	473.778879	473.0241324	478.4870001	543.5654693	546.4445411	426.9454474	426.1232581	425.9279114	404.8811884	492.0643857	492.9379478	368.0607247	350.6887942	553.4068239	565.2853634	502.3184282	546.0301638	467.3406635	550.2217247
2400	2700	439.350086	373.9783491	484.5523218	473.5713201	478.1151801	470.7923117	515.4084967	531.9442897	401.4363748	411.8365376	420.936682	395.2611315	441.7973841	432.1426299	353.0493404	312.6166966	519.4391414	539.9562284	502.6153978	488.7948993	486.1894804	504.6963618
2700	3000	407.6993546	413.7492442	454.4923658	435.1353349	427.632637	434.5098452	487.877439	525.0370739	393.3718762	391.6233583	364.749697	405.7827426	421.4525948	406.3817933	305.455205	308.5929384	481.6247254	503.8834847	446.2425725	433.1710962	435.2690762	533.1657734
3000	3300	424.1952229	348.2447667	461.2043445	396.8025488	385.7681867	415.6515204	460.6512149	482.1986414	365.9496478	385.3303463	389.7051767	374.3023859	376.9216624	359.7103404	303.8041085	267.8042358	455.9763337	491.9264796	412.3415256	479.1798024	409.4513264	480.5662305
3300	3600	365.7730225	317.8637502	405.1971946	383.57737	364.5187534	394.7568166	403.6551956	464.8968542	357.8910736	336.3949139	362.1251211	343.8324359	366.7480975	364.9873357	259.4019607	240.2354908	441.8476949	444.0733318	404.3209996	423.3357243	401.7569962	400.9094819
