start[seconds]	end[kBq/cc]	AIF
0	10	0.430185707
10	20	1099.893242
20	30	312.7427059
30	40	226.7852543
40	50	213.8602094
50	60	130.3313296
60	80	110.4897985
80	100	81.05029353
100	120	81.38622768
120	140	66.33698798
140	160	67.47826167
160	180	72.30066951
180	240	56.46306833
240	300	60.22275152
300	360	64.07328554
360	420	62.52430837
420	480	70.0740724
480	540	72.15350109
540	660	69.98254283
660	780	64.49879269
780	900	73.2572296
900	1020	72.64806133
1020	1140	65.6370758
1140	1260	64.01453455
1260	1380	62.41825011
1380	1500	65.79218906
1500	1800	67.06773851
1800	2100	61.6912706
2100	2400	54.70182996
2400	2700	57.32431226
2700	3000	53.42727373
3000	3300	54.69629358
3300	3600	52.61199207
