start[seconds]	end[kBq/cc]	NAC.L	NAC.R	Striatum.L	Striatum.R	ACC.L	ACC.R	mPFC.L	mPFC.R	MCortex.L	MCortex.R	oFC.L	oFC.R	Midbrain.L	Midbrain.R	VTA.L	VTA.R	Thal.L	Thal.R	DMS.R	DMS.L	VLS.R	VLS.L
0	10	2.19E-01	3.26E-05	0.817580105	2.07E-01	9.50E-07	9.50E-07	5.28E-07	5.25E-07	4.26E-04	7.62E-06	0.267676083	8.05E-07	-2.19E-07	3.30E-08	-2.05E-07	3.12E-03	4.32E-02	1.91E-03	1.21E-06	0.331511367	1.86E-05	2.345800133
10	20	85.8511764	39.42474471	58.80981852	60.8010119	18.66784058	41.97498258	92.40345836	45.60354467	36.55124528	49.21320867	40.73125765	47.41332427	40.63042775	110.7199522	57.70506642	40.38163591	90.65002811	71.05931115	48.84863073	60.67633958	79.37032784	33.79403529
20	30	156.7181005	151.9253822	151.9183545	196.0151495	93.06051823	165.6461745	167.9301875	215.5175605	168.5360023	132.985113	147.4326119	196.8653893	226.3230873	196.143722	154.3298238	173.9420075	186.0697019	223.184355	203.709887	151.2507831	159.9910518	138.5797275
30	40	270.7090607	202.2429067	192.2509937	259.5261367	192.0810256	157.7063277	164.2316268	220.1893492	158.7514115	223.3888363	217.2249616	240.9654921	246.2055517	330.6197435	319.6489904	342.5196336	213.5247811	288.0221547	342.1472857	153.585681	222.820321	209.9966063
40	50	204.6343866	235.7109679	234.8574428	245.3283777	215.264958	197.657049	241.3195264	298.6976354	180.3590273	216.2056182	213.8830887	279.5362231	313.187281	356.6874603	152.8905058	300.231335	318.7481838	303.194134	202.2322646	349.7900867	293.4726715	169.4534633
50	60	229.4861534	308.2529112	256.1342938	247.8887651	217.2813098	263.6709955	294.8738722	193.854866	190.7134956	293.9488288	241.6857934	254.6595338	266.1237477	382.1110887	229.5407318	335.8089808	316.6530099	325.9192267	207.3544664	302.1476438	273.6889173	250.1773147
60	80	184.9723555	236.7748077	263.7312045	259.5444282	225.5976252	293.2662624	276.5432965	283.6331871	227.4335301	296.4138483	246.6736255	321.224494	305.5478883	328.3390609	304.9944195	340.0237939	339.4239473	365.9314946	251.2944584	251.3809509	269.9709629	281.5097116
80	100	267.1257382	272.869362	312.305755	283.0756493	214.9853211	207.4210356	324.7908211	321.6950049	288.4688387	271.8742436	263.0203139	276.3792442	393.2682405	381.5150605	294.6540147	331.3781809	338.0345985	344.3231541	329.0370416	346.159581	205.1965044	363.0464489
100	120	294.0324668	294.5876888	302.6706806	334.7636697	195.1743215	172.9872559	418.5330642	412.5792033	228.9693622	271.2573052	265.9048622	281.7704024	364.4722188	402.8838662	272.8915855	309.7038603	411.6306673	365.162632	347.0617283	294.9253214	302.8478768	309.3969486
120	140	325.7445053	237.4719741	296.5135396	322.4771273	219.2500014	266.2404542	385.5472359	338.6364298	273.611979	283.4116237	305.5900015	309.3025854	388.4574494	331.0380201	300.327921	335.2503711	352.2602146	363.5441432	382.1302291	235.0543228	275.6436893	319.2604359
140	160	288.5309645	300.9741047	308.9629394	338.4596521	267.4303409	298.2069931	402.085427	324.1018945	288.0572039	301.2071964	269.4286543	355.0801298	444.1091863	408.5430768	379.6845113	361.9000091	363.3056948	373.2957796	347.6310436	338.9990254	332.3912371	309.9462252
160	180	286.4956177	280.6381644	302.21794	355.3996	242.0491725	307.1052524	437.927803	415.5726735	285.3663097	314.8301754	282.8557765	354.1540471	401.8388892	447.5660164	344.3635452	357.9133283	450.1734693	394.6091601	329.5457416	272.0632512	384.5304411	330.6304022
180	240	292.9630272	281.1377983	342.0301693	351.1293181	225.6886094	296.2054435	391.8684607	444.8578088	292.0534336	327.6369972	318.5729848	334.7766491	406.6776097	434.6452258	352.5258399	360.646118	398.2761357	401.6937495	418.7667021	342.5895181	299.6249235	364.81651
240	300	322.8324745	308.334668	329.2116821	363.5400746	240.7849944	282.5797087	396.4880025	424.31681	306.4157947	327.1868598	329.5178887	343.5020889	425.8563215	445.3998101	336.9417134	396.4229521	433.5711268	425.2007378	360.3377224	331.5677469	375.8311499	322.4271962
300	360	299.5164247	336.2401304	365.5287761	367.4821148	319.1571921	357.5667491	394.5534516	404.3027755	311.0190633	328.431021	336.0882069	346.0724185	454.9905348	432.7786749	360.4295397	365.8991518	434.694314	432.7728397	390.2757901	424.9015472	332.3299516	329.652008
360	420	299.697932	348.4139049	373.8502582	349.5100181	273.6686548	310.6389905	464.9356421	460.9887897	327.9409652	329.3408033	342.8780583	373.4513919	417.1372559	414.8501303	344.3361068	360.9749227	429.3485581	447.4294958	344.4095823	407.4020065	324.4708587	353.9779413
420	480	343.6902192	335.2468732	358.6205688	387.4413235	330.9788441	344.7002034	381.0944692	406.9032734	336.4579154	351.1704381	335.9710039	375.7800359	428.5032804	432.2841336	335.635763	347.6808231	433.8505965	466.5032616	407.7044159	345.961048	359.8222652	366.4375456
480	540	338.8159936	330.9757305	356.7309328	399.9598719	289.6001819	348.8286397	432.1499853	369.1082108	355.5171161	377.7675162	348.1787416	377.1565902	440.5797457	434.7865549	323.3546593	369.9614351	475.7233997	468.2574479	443.5412224	368.1761675	353.7755046	339.0914596
540	660	357.8704054	351.7323188	375.8405305	395.966516	284.3611288	324.6168892	428.9568309	447.882277	373.1296732	346.0759962	357.7105243	417.375518	478.6373331	448.7970302	358.7569869	360.3969604	491.248465	463.2153503	403.8979656	375.1308874	381.8253095	386.453101
660	780	376.8040943	324.8915729	404.4368796	403.3904539	307.3295008	351.8706373	499.7834779	483.9105541	377.0035279	380.7860754	393.1927453	394.1909588	464.3126295	485.0018258	371.3100399	383.3555187	479.2154977	492.6882699	400.5322098	399.3511438	426.1974809	419.5300436
780	900	356.9898239	432.2828322	436.968286	437.6851162	335.1256223	390.7695383	487.701132	447.2718102	374.8085928	421.8495128	404.9013467	416.7090783	463.1117887	491.1427712	367.4964741	385.0853389	518.8827373	502.4621527	448.5120474	452.8072976	438.4740961	440.5604496
900	1020	386.819694	382.8422091	423.3725618	422.5091266	311.0434512	371.2547499	484.4601532	464.3441932	367.4246891	414.1538083	379.391123	422.6022598	427.7769716	472.0731308	369.6811984	375.6078317	528.3960703	521.0670851	423.9765387	465.553538	437.876607	414.1106751
1020	1140	356.367007	372.0197407	426.9141552	449.8950639	308.0931042	406.5328493	476.4627458	480.413552	404.100404	433.2150068	388.4336054	447.9425031	482.2323476	437.135743	350.8270753	342.766852	494.5576665	490.0801817	436.7002165	427.631039	477.2865105	426.3515172
1140	1260	394.5070529	381.2399828	447.0283863	448.1365773	317.9943189	360.1819827	505.0304363	472.6850958	387.0347469	413.5052365	397.4062562	441.5486655	418.3347657	452.7677783	332.2554412	345.3538375	510.4499561	497.4570901	484.5596793	453.3236486	442.5957656	458.5810409
1260	1380	345.3618219	379.9356584	415.0472201	450.4871991	310.8283906	328.1103568	489.0632622	428.646174	401.5600328	436.1846605	411.4693507	439.7520174	438.8403778	494.9964448	367.5492587	372.7332741	511.8119791	473.1634619	473.7693798	411.3796263	470.447971	446.1198974
1380	1500	381.2151571	349.6716771	433.3444822	440.1828461	315.6695989	344.671183	499.9963404	467.0877809	390.6846188	423.696999	388.0840604	419.1288832	434.624976	432.1281767	346.015241	375.2285193	501.7076445	494.2532363	419.7807527	434.1576092	471.903	465.2823146
1500	1800	373.8705134	349.2143921	432.5489665	448.5007958	315.892039	366.8649091	477.3476149	463.5375627	387.8312886	415.9017607	396.0718389	428.6679792	429.6392245	433.9616016	311.3964976	336.2890527	470.5920978	480.0650943	460.5290493	431.3437265	449.5188311	447.1460653
1800	2100	352.8513346	346.5649592	422.9912617	433.2193223	327.9248616	348.1337013	476.4535383	448.7571424	369.2237953	416.7437246	395.1018825	398.6588748	400.2111464	407.4585858	284.6688545	318.3639642	466.3074286	476.8921207	435.4898409	437.8920153	427.792821	456.6434027
