start[seconds]	end[kBq/cc]	AIF
0	10	-1.72E-07
10	20	783.6628701
20	30	313.7939737
30	40	198.9421229
40	50	200.2424147
50	60	196.7344941
60	80	134.1837534
80	100	87.03937217
100	120	108.1665336
120	140	72.00425325
140	160	78.3140816
160	180	59.34629536
180	240	63.02928393
240	300	65.93303571
300	360	64.17150824
360	420	55.21777221
420	480	73.85673291
480	540	67.84949384
540	660	72.34028898
660	780	76.71902902
780	900	70.97317845
900	1020	69.8705304
1020	1140	81.65190533
1140	1260	82.0830589
1260	1380	67.06852695
1380	1500	71.10280051
1500	1800	75.63881656
1800	2100	67.53551347
2100	2400	59.49273995
2400	2700	52.37502221
2700	3000	62.09167753
3000	3300	51.0559766
3300	3600	54.14762838
