start[seconds]	end[kBq/cc]	NAC.L	NAC.R	Striatum.L	Striatum.R	ACC.L	ACC.R	mPFC.L	mPFC.R	MCortex.L	MCortex.R	oFC.L	oFC.R	Midbrain.L	Midbrain.R	VTA.L	VTA.R	Thal.L	Thal.R	DMS.R	DMS.L	VLS.R	VLS.L
0	10	25.1169005	61.79837968	38.52097251	27.14851306	31.50082484	20.2897966	32.406246	28.15795087	24.24412559	20.12295812	33.80242389	32.64689665	53.05953099	42.39334625	47.37658169	51.83436738	31.27371247	58.33909177	31.82000942	28.92381136	22.04312628	64.09286351
10	20	286.8350287	168.5584233	285.7794098	290.8323546	128.8826758	216.6128164	301.9975378	319.0727722	215.8836037	222.6057938	220.443691	216.7132047	273.7119752	301.0325135	269.9385837	220.9646659	339.0802784	348.4809683	288.4407268	342.0233024	351.4255122	266.8851049
20	30	234.1991074	220.9385513	321.8355595	290.7286288	182.3748344	244.2358317	340.1345823	291.5192786	261.9607454	277.8115843	266.0538828	285.6290189	380.6438959	324.475008	266.3615589	327.641697	346.7938774	358.4787519	260.0590374	354.6687548	317.5871505	341.611681
30	40	260.5785547	261.7563885	353.606324	324.0315015	248.5149136	285.6859702	296.4561317	398.8581208	281.5762638	318.8165829	255.3813375	313.0019486	381.3674258	396.4650134	298.2178226	311.0593461	402.0408998	390.6224221	322.2822745	365.4737912	351.1306434	444.6598028
40	50	258.0185954	304.8829479	355.5254219	319.7707813	195.1560539	271.7368435	349.7925811	336.6004296	281.530397	293.5606427	291.0846302	265.6383938	464.7404168	425.5283371	336.9839645	468.1655236	464.6709116	439.7801028	290.0563219	348.2195555	332.7081568	434.7027517
50	60	326.0433619	295.2970007	378.8275615	398.9601263	241.7368432	277.9942271	363.610739	408.0032138	311.7684379	341.9266704	318.2816479	329.2698936	491.9462581	429.206581	368.858985	374.6108852	510.6258138	443.893653	424.6255184	433.648239	400.6161076	347.5326732
60	80	289.664793	328.5005701	398.7805751	412.4083626	259.6462563	342.8403635	432.9683884	408.6305355	341.6555615	370.5469082	332.5067939	353.5731438	488.2725936	430.098535	399.3209238	372.3007053	458.7794056	495.6497185	429.2991951	429.9171075	427.3061915	408.8827333
80	100	333.2869097	345.5098494	424.426333	381.4063101	280.6730955	257.0738598	452.9206792	427.0842084	329.6183982	343.2128252	364.6089237	324.9564119	519.137457	509.7558094	446.442129	386.0166727	509.3500261	481.4485339	415.0191532	418.6080239	350.6655014	453.9145749
100	120	383.2146489	326.6989286	419.456487	389.5143945	244.3565399	286.6014598	443.2171666	439.1902468	341.8924237	371.5542872	331.0059791	345.9952687	539.3313749	560.9976201	427.7101205	458.0366399	519.8021787	536.4152503	388.844987	422.2218413	403.1746679	443.4709184
120	140	385.1863167	301.3196206	440.7170555	421.4212152	237.8864206	335.7610603	489.165778	422.8718025	311.9462566	369.1395245	355.8647551	379.5385791	496.7150774	535.561523	449.5718453	417.4340801	505.6519281	545.3690865	442.1303325	459.6763176	426.3951632	491.4120646
140	160	346.1164759	315.7696341	451.1791212	417.1092301	261.7070694	350.4835736	437.9617056	425.1331658	333.3330071	395.4468612	388.8600986	362.8305566	519.2696464	514.0084916	435.1830744	430.1902471	507.9503243	528.4163641	420.6410305	466.6786692	436.4425199	491.6016393
160	180	329.5270706	374.5375318	489.3679325	413.3908228	255.6613684	316.4610966	499.4032126	544.7752425	358.1403342	397.8260876	355.5111193	394.3408259	546.759736	516.0398157	479.067185	417.313548	547.6932082	554.3165166	456.7939562	522.7988167	376.9431241	536.5185344
180	240	345.3545447	342.6993182	467.1646005	447.6662509	275.5714693	346.774276	462.1026	499.4230127	359.9256608	399.9999829	360.9055439	384.7073387	512.5658083	551.3358733	406.0614074	459.1129695	546.0044906	556.1962529	469.5217151	484.6442572	470.596976	501.095052
240	300	385.9098658	364.918945	471.1568067	456.8344443	264.3619238	338.1760525	497.6921629	513.5136009	353.5450452	402.7875486	390.2355842	390.7025045	521.2374966	572.7261498	447.7635143	411.227412	594.8133806	566.1546714	513.9190461	507.8752438	439.4836472	485.8757003
300	360	376.5964032	352.7758162	474.8500995	454.8467865	276.8503507	330.8331595	521.1113952	531.1987529	386.7895536	427.3768747	379.8346325	391.5967991	522.518777	557.814863	442.9106742	416.2481325	584.5311109	598.0953139	457.5143618	491.4988188	474.0596697	536.1497838
360	420	368.0579475	399.8958175	519.7104356	466.7063066	302.5469263	389.3439707	508.4646981	489.9046193	384.8847378	429.1570436	384.1884417	409.0550618	550.7155827	568.0797098	447.8734242	454.6645647	590.5575054	588.2163118	491.0300074	532.6250289	469.1146144	600.2531785
420	480	380.7639231	408.1052586	498.8499045	484.1918579	314.0419991	356.5074324	513.7124591	524.9523123	401.6702084	424.6088049	389.4870616	405.5584839	570.412586	562.2798023	434.1680047	421.5039419	604.4811077	603.9178527	512.3420575	523.7857003	454.5254472	552.1291545
480	540	441.5722889	410.4062605	517.393158	496.2676139	289.3833735	372.3508975	550.038084	543.5383267	386.9832627	443.3214305	426.3869864	417.155324	578.2468047	594.1553018	464.0436006	456.3953671	613.3704864	625.1441671	523.117113	510.1148345	482.2400514	587.8692817
540	660	431.3466408	403.5083806	519.0170894	511.6098602	305.6010721	373.9574527	561.1678065	572.4074852	412.9317749	466.4131338	429.1252639	442.5255012	566.6352551	576.1563436	472.6092062	448.4832646	632.9885333	642.9864736	522.9530078	540.1351595	542.8467711	558.6375125
660	780	439.0011771	428.9552644	541.8769709	518.2322556	325.1760939	388.1979723	569.8118079	589.8149128	418.8656552	455.4512279	418.1284344	435.4871082	614.2010092	598.5444501	478.8689293	446.3975289	635.3027573	634.2424972	542.3771009	550.5017634	521.6292447	579.3021326
780	900	447.584191	437.8294353	546.4150529	523.5088447	298.5901857	389.0248148	609.9603188	593.9084388	417.3532592	462.6314681	421.7381366	442.7543918	593.3218929	604.4648989	447.2552562	455.2014441	634.7207063	640.2010278	548.0077412	586.0262456	528.9181946	563.9135571
900	1020	418.741143	445.3078474	556.9945632	538.0021432	304.6048274	393.084246	588.8193696	572.6472504	411.5964141	467.2510632	449.4460732	454.0861865	570.1914658	599.7290584	458.2022391	461.9121959	637.052089	660.8690472	579.045324	602.8643276	534.8910979	579.8695464
1020	1140	431.3951112	458.0489642	556.3782681	534.9780815	328.3885711	361.3724759	575.8809965	588.0364797	435.2717157	465.9716798	447.857303	441.513695	578.760265	604.2338403	474.8259262	450.9811195	637.3850525	654.2048157	580.2103439	594.3564942	536.3088055	589.7720921
1140	1260	430.6306443	443.702895	546.9349736	513.5901696	315.1585152	375.0678031	608.7618304	576.9490386	409.3900692	477.0596178	449.2278027	430.8086939	589.4400876	563.83794	462.1536249	437.9756264	613.2731401	649.5555231	550.9496998	576.3528503	513.9282037	595.0700531
1260	1380	439.7405613	448.7417484	548.1098834	504.8841857	304.6646956	413.5877304	588.2685043	595.6372926	405.4356105	461.1209751	429.7600269	446.1591583	579.1608679	556.3105777	478.7073606	414.0857158	608.3035467	648.4210968	510.8823294	575.0072614	512.9887036	604.6519185
1380	1500	431.9866764	411.6399034	524.4650177	492.0328976	295.1367301	372.2029481	573.6080038	566.1682419	417.5064602	450.5628909	412.5823792	421.8303552	554.5715124	546.5344203	446.9728607	420.5451001	619.9977436	618.8240134	491.3469061	535.6966694	513.0827371	580.839901
1500	1800	429.3596671	444.5832541	521.3542142	498.8443082	280.9906119	344.6793992	562.0594974	564.3901386	387.0678846	436.999557	427.2276479	425.3254967	544.1384475	535.0964327	445.810994	397.0339467	599.0806517	592.6011725	527.6434225	551.4469676	490.2456536	556.2075971
1800	2100	454.9296885	438.2405895	491.4956816	458.1929182	297.1274501	322.3623723	517.2753319	545.7675483	367.4454498	390.5672788	419.6106178	403.1260375	518.1515827	511.8270099	414.6723483	398.7336788	572.7025139	580.712059	484.8059017	514.0720672	438.9289469	501.356351
