start[seconds]	end[kBq/cc]	AIF
0	10	931.7225282
10	20	362.9377758
20	30	213.9213962
30	40	237.6949388
40	50	135.3345303
50	60	134.1505665
60	80	114.2268027
80	100	87.68549552
100	120	80.33630278
120	140	65.69384412
140	160	57.99277599
160	180	72.32408105
180	240	59.19707005
240	300	59.44081134
300	360	58.89774964
360	420	63.21741132
420	480	70.11246128
480	540	67.4370293
540	660	68.4254183
660	780	68.05650218
780	900	69.01835483
900	1020	62.30333998
1020	1140	57.2823772
1140	1260	58.94741133
1260	1380	54.39073907
1380	1500	54.72650798
1500	1800	53.21101854
1800	2100	53.17341037
2100	2400	50.37948487
2400	2700	42.37358982
2700	3000	44.26297462
3000	3300	38.06056237
3300	3600	42.25413597
