start[seconds]	end[kBq/cc]	AIF
0	10	1136.477742
10	20	360.9833332
20	30	229.115268
30	40	214.5299738
40	50	167.7360911
50	60	110.0628177
60	80	98.79719257
80	100	85.600972
100	120	65.82574875
120	140	71.21976436
140	160	73.21080147
160	180	71.53597949
180	240	55.30155542
240	300	64.28133652
300	360	64.67396953
360	420	64.76673898
420	480	76.92084677
480	540	74.23351227
540	660	72.00600598
660	780	73.02804366
780	900	65.01927029
900	1020	70.74153129
1020	1140	73.19253185
1140	1260	60.79116431
1260	1380	59.66823699
1380	1500	63.83610665
1500	1800	57.4952527
1800	2100	58.30736403
2100	2400	47.83336926
2400	2700	46.61328381
2700	3000	50.83735765
3000	3300	46.70166878
3300	3600	41.8012818
