start[seconds]	end[kBq/cc]	NAC.L	NAC.R	Striatum.L	Striatum.R	ACC.L	ACC.R	mPFC.L	mPFC.R	MCortex.L	MCortex.R	oFC.L	oFC.R	Midbrain.L	Midbrain.R	VTA.L	VTA.R	Thal.L	Thal.R	DMS.R	DMS.L	VLS.R	VLS.L
0	10	0.458628208	0.685094446	0.089709578	0.135581692	3.56E-03	2.16E-07	0.132730833	8.25E-02	1.09E-02	3.33E-04	2.38E-03	3.04E-03	4.13E-02	6.47E-03	1.21E-05	1.13E-02	2.84E-02	0.223210912	97.15360122	125.2376248	89.81765747	5.98E+01
10	20	131.9814386	114.8924132	154.2247292	123.9281401	63.43326101	49.56456001	111.5785703	100.2412868	78.27739541	85.55627814	126.7625312	95.87935027	214.1166216	145.571003	205.0922303	149.2518099	141.7021124	122.1869361	305.5224615	337.2417426	218.6436896	287.6759508
20	30	264.9911445	211.1959625	262.8398143	222.5060182	193.8651521	261.3807114	301.7943106	248.8772731	169.5586293	203.7142733	270.5037176	213.2495299	402.1595363	367.9631646	259.3346415	310.4867886	342.1191148	418.5287257	282.6616132	333.8443121	225.9655544	328.3713957
30	40	325.5949284	184.3577928	269.0400409	252.048677	275.465171	297.520911	409.7229673	340.0055814	144.2478656	226.1113451	256.687564	309.2949515	463.4726767	301.2146916	301.8284581	326.2558878	345.4333735	362.1609254	356.6082571	315.9504304	310.9947086	282.3234333
40	50	219.4714022	259.671644	278.4757313	278.29437	281.3761032	278.9511135	349.227733	323.023715	237.0899434	236.8408758	278.069213	313.0224209	401.1993918	381.4925767	413.9230544	453.3903861	411.7989413	351.8851036	353.7004165	328.2859428	399.2517074	274.3011103
50	60	333.816251	374.540475	286.6040664	274.5323942	230.0933009	204.7925578	332.3814246	257.2743221	197.6229271	288.4569962	272.9380829	332.0328963	404.0690447	430.0534406	338.5783815	362.1011744	355.6999345	371.1272144	424.3211503	404.6353603	363.9954806	265.4878318
60	80	359.6701924	312.7202828	287.1254918	342.4752839	273.4530767	277.6187296	301.2020763	370.1179274	242.8955228	241.6617969	293.0502815	317.337996	479.2768121	449.7882389	453.2282786	401.0768794	453.7338682	459.9648867	415.0731519	403.2076885	375.9492172	440.5768651
80	100	255.8125159	293.0501095	287.2254671	367.5764862	302.242443	284.5454571	413.5077506	478.539071	292.5447492	298.9125584	342.5770241	363.4334436	442.8295142	456.9508739	453.2225443	451.6064579	454.4330178	371.7695088	447.5848162	445.9694597	332.6206005	523.2565928
100	120	316.3709131	384.7568899	346.6500162	338.0100591	336.9390714	313.4327072	373.4686559	353.1076191	292.1983139	279.7848748	329.8367895	347.3581924	485.9771797	470.1135513	456.6764896	468.8575765	412.6907333	430.9807277	364.6287046	401.5978472	411.0570581	382.4386057
120	140	356.8349165	411.0984441	356.752147	361.8345183	338.2863357	345.7541766	417.6949643	413.1386364	284.6283458	317.6835711	362.0711843	379.4598677	523.4749366	493.2825118	500.9070126	527.1618362	454.2391425	465.8187343	417.3771246	435.732815	351.5992241	467.9761585
140	160	424.4122193	347.7452262	386.6849037	382.8313687	319.2285814	293.4879489	377.3884237	448.8327966	335.4094577	315.7562865	337.9827353	400.8332307	525.9405536	543.9704992	469.6854889	477.9066395	503.0219223	482.365227	479.6258262	435.9838765	468.9159916	422.865146
160	180	392.8989938	401.8938394	396.2736553	395.8762511	366.3381328	338.8133428	509.9188603	412.2051562	326.23232	327.1673483	381.1651218	368.8574798	544.7597054	497.5406582	495.7071287	463.2245266	464.8548052	459.5087264	390.0104727	470.4446942	473.283306	416.1956808
180	240	396.2787664	394.0336891	403.1776859	376.3974348	392.241819	385.8330384	392.7189094	387.8463943	296.3901437	327.0170247	322.726107	365.4016422	514.3958835	484.2314418	514.186411	481.2506016	457.0936283	507.9081422	454.7270336	469.9337572	424.4045384	431.4109108
240	300	447.6480125	405.1388282	418.3664422	355.8596755	378.2269445	372.0309337	402.2067006	412.8596933	332.8476485	340.0672247	392.2560112	355.0387743	536.2072866	502.5750514	545.0934966	463.1061141	538.0085896	497.6970315	433.2915957	509.683728	394.5635807	494.9956972
300	360	483.7678269	397.981096	444.9728232	405.8255982	355.0115939	399.4583273	361.7802853	401.5869991	301.976316	342.6392695	363.0359734	393.6319755	530.7209764	559.3713442	528.3893118	465.5252262	547.087184	514.900441	434.1353031	494.2619652	470.7883437	485.7028992
360	420	454.720763	430.1268104	473.0839206	401.8660764	396.1056491	421.1685207	433.5679969	463.0087464	324.509175	381.4587159	393.5475099	410.996747	529.5540546	543.7022506	504.3221083	506.9727698	543.2242427	558.7893169	510.7178386	488.41013	453.4930334	454.3862131
420	480	383.8971811	469.1198328	475.8975643	437.4627443	392.947993	389.9240026	439.3808445	404.6803168	359.6164911	383.1452763	391.1372572	396.7856749	585.1108298	566.7476664	517.1413896	544.5979419	545.8987587	565.2083617	521.1093509	518.1623212	446.5809335	533.6414325
480	540	436.8153368	433.2276686	453.5858675	422.1999082	423.8356682	409.188649	483.3077099	467.4375731	361.6673204	378.6460329	411.0541183	441.7819797	538.4973778	587.1304934	556.3027125	506.8474188	550.8753505	572.7009746	471.14189	545.9702499	525.7331403	534.1864861
540	660	464.2337849	494.9034149	474.5681979	445.6032873	435.8382476	430.9991346	470.6889556	493.2484502	378.7656495	386.7517242	407.2398322	426.2373195	611.780527	594.9107368	582.2986916	495.9660879	592.5275785	566.2755074	525.7564261	509.0294905	498.8259663	517.7033591
660	780	535.1399115	478.7922098	497.1482836	468.6657701	441.0303329	429.2874868	476.4110299	524.0167668	400.0193672	395.2551724	399.3301953	487.9569329	629.1423741	643.252724	553.75263	565.8495666	588.2801551	575.1219217	544.7785207	544.0164331	529.5458682	535.8224831
780	900	525.1974509	539.6941752	517.4482662	512.1658518	449.5185567	465.967825	521.9528921	519.7465211	374.9041418	408.5127518	448.7127499	480.239881	639.916073	661.4046947	654.5927957	547.1182063	581.4766855	602.0326298	546.5095101	618.5252152	482.0435158	574.934857
900	1020	523.1865607	516.4828099	518.3705177	510.5409987	462.6977488	489.6941841	496.3922581	512.7250923	407.4113152	468.5003034	436.4215365	462.7041138	633.4503513	657.2785509	581.9071564	527.3404584	651.2136539	609.675079	562.9207249	619.4204485	529.8662723	580.5576832
1020	1140	515.7067925	524.1292157	545.9324444	505.7568886	466.9512219	471.2143571	578.7471206	610.9825475	403.1502156	435.0703156	471.2049243	518.4499476	633.0264175	604.1459912	607.3785653	549.4467171	616.6023512	650.8475788	594.4431831	600.8745485	554.8076719	581.3803765
1140	1260	514.2477675	587.06799	552.1517227	490.1384511	484.7764258	493.1681133	538.2474215	552.9713371	421.3243206	437.3496551	464.516828	477.2037913	633.2138131	596.4517617	601.2831048	562.0242421	638.3049181	622.7166202	608.9447422	611.5443007	597.7804848	594.7981176
1260	1380	567.294256	573.4345585	552.1556996	472.0703873	466.7647151	504.3322006	522.6045334	588.0699371	443.8637166	476.9056958	468.7780996	517.7144715	634.8729064	594.6403091	624.7730403	563.2448939	613.7581011	591.2558918	566.7513395	615.7601642	528.6226235	582.9392907
1380	1500	580.6088626	527.8828046	558.7831102	481.1567652	501.332552	509.058664	542.5735189	558.5111479	406.1315145	429.6931857	458.8874193	476.1031575	624.7497593	584.5738164	592.6196134	511.6723395	653.7266931	606.2637106	608.4204127	617.9028255	571.81963	597.6061898
1500	1800	572.6202936	533.3597106	547.502547	485.9537306	495.0686763	508.9506306	547.196479	561.1100864	405.787889	445.859325	456.4868003	522.8341331	625.7004995	615.0144774	560.8167217	488.5726777	618.2507215	627.1567147	534.9050244	608.0887567	518.2138969	569.4336808
1800	2100	575.9414047	562.0081861	526.7588256	480.7823896	484.7684552	498.0254899	529.6189091	533.5816838	392.510641	434.3853009	449.8600605	465.8372559	589.7767968	630.8695904	561.4773084	531.9852086	604.5570229	568.4731624	552.0371466	565.4687482	493.1766973	564.1308697
2100	2400	534.4996241	533.5920628	520.2520142	456.9926119	474.5293899	480.1927454	509.2259897	537.9156372	400.649505	416.2818421	462.2864591	480.8690153	595.5810144	585.687639	523.7491489	498.466053	568.1543949	560.7873623	502.3184282	546.0301638	467.3406635	550.2217247
2400	2700	532.637538	511.1572883	492.1627431	452.9427331	474.4635606	492.1581381	503.3050227	531.7501613	365.6454916	405.3701482	412.7161648	469.6725008	546.5887621	528.1276575	512.6333441	475.2469178	553.3191199	533.9161058	502.6153978	488.7948993	486.1894804	504.6963618
2700	3000	543.8796112	489.5657941	477.6574443	431.7926366	430.3262193	435.0484394	500.6752339	488.6755503	368.6199381	372.5253415	412.3417463	420.7748925	496.5243181	515.0775722	489.3429607	435.7062736	507.5190727	535.5403349	446.2425725	433.1710962	435.2690762	533.1657734
3000	3300	488.079646	422.5058074	443.1749323	394.74813	412.8129878	412.0905284	479.2033563	492.0135775	337.6766979	358.2367709	380.2350249	434.3663205	509.3115449	459.0050864	451.749241	401.253724	490.8056557	506.1859147	412.3415256	479.1798024	409.4513264	480.5662305
3300	3600	395.5511175	443.4664184	435.1270583	385.2264294	365.3043892	391.4567128	522.936547	485.0325752	303.2965432	345.3145023	393.1971753	393.4408813	477.5930902	464.6024405	465.4549242	371.6229411	471.0797454	509.0661186	404.3209996	423.3357243	401.7569962	400.9094819
