start[seconds]	end[kBq/cc]	NAC.L	NAC.R	Striatum.L	Striatum.R	ACC.L	ACC.R	mPFC.L	mPFC.R	MCortex.L	MCortex.R	oFC.L	oFC.R	Midbrain.L	Midbrain.R	VTA.L	VTA.R	Thal.L	Thal.R	DMS.R	DMS.L	VLS.R	VLS.L
360	420	297.2234614	316.1733789	364.7206664	389.4544713	230.3611257	256.4336832	353.881264	366.4956321	283.999786	266.8087486	269.2338276	309.3959995	405.2687689	413.5314106	312.5562197	357.1691356	415.3365757	383.9283554	411.5647497	346.6744928	393.7312523	348.1233351
420	480	298.8501404	304.0125683	382.1877951	400.6210883	222.4273837	253.8448296	377.6247574	422.5482078	288.0580362	290.7083764	253.8257359	304.477649	413.1763439	414.2970406	300.9324003	324.2793024	416.1239479	420.3434145	414.8504889	360.1613594	424.9097525	362.3419637
480	540	303.2002379	320.3820047	400.4247062	392.1105476	220.995564	242.3929579	367.2854004	374.1928566	291.3424746	298.8214783	264.206883	297.3405818	413.9087429	373.8216997	333.6172018	313.5816364	398.3739083	419.0785883	401.7530069	384.7868275	393.983381	367.0739636
540	660	301.226134	325.0021954	404.6681088	402.8109853	240.3584476	239.6600293	391.0598123	412.395756	294.8106218	283.0262865	277.2923026	321.1185394	423.3147175	405.247193	328.8039808	351.0419516	412.0524334	434.4302239	398.3374356	373.6004441	440.544266	363.2264438
660	780	318.320898	330.0889147	408.7359415	411.0756271	240.9022753	265.7573914	360.7454268	384.406044	298.6259299	301.8116908	270.8253056	319.3322996	431.204512	416.7750114	347.3369026	367.2960955	440.2594855	432.9051733	415.5376529	379.7433606	422.558892	379.7564539
780	900	297.1748214	313.1959498	406.9291949	407.3723881	249.9274679	247.7863586	392.591629	402.9362746	311.3937158	297.963777	284.6707583	317.4276966	432.6453451	418.4097905	318.487819	340.7049126	424.8987444	440.4686484	414.3197134	385.5040021	431.8320106	387.6405778
900	1020	316.9191467	330.5994599	403.3166299	408.6220696	240.6129275	261.687128	387.1577453	415.1466557	303.7629829	299.9666487	282.9515992	328.2063136	455.1389867	405.9373938	335.0499697	324.2638716	434.5056215	440.7974029	413.0244502	415.4757335	430.7132693	398.0066628
1020	1140	324.2856841	348.5540681	407.1053234	417.5329312	248.8536013	246.6558805	360.512624	420.5050479	314.4086715	302.2953071	275.2572259	315.2801705	411.5235966	424.1451056	323.7817754	321.1264713	452.0100033	450.4956748	424.8359654	397.9967684	422.6576743	373.9233776
1140	1260	300.4117585	327.4841563	401.8683825	401.5101802	252.4935869	263.836609	378.4501889	401.4383069	304.965149	292.5667094	281.2062859	321.8309127	406.884599	412.05429	315.2746235	356.7360582	445.4133752	418.3260725	403.6670396	384.7052392	425.2078753	366.2322101
1260	1380	331.7755561	306.9067202	406.5507876	405.5731465	235.752015	252.667585	379.9308736	422.6682078	299.569849	290.7876284	270.7983706	310.045589	424.0526379	409.9330063	314.8659591	342.7560463	445.6021941	461.1095773	403.2692558	362.9711244	435.8556616	390.5447645
1380	1500	296.9750269	330.7226271	399.0910847	391.9709163	216.4798724	256.0551822	363.2471831	389.0292721	278.2964395	294.9677229	256.932645	312.3339773	410.0362423	399.538058	323.9667598	365.286573	428.2551503	425.7931154	377.65509	388.5178966	408.6250423	360.2363008
1500	1800	293.2313967	297.3331445	391.7270791	400.1519494	208.9404246	234.7242895	367.686384	372.4174779	281.5388765	279.0058246	251.6915656	295.3529327	380.8027317	397.634274	293.0764185	331.648086	420.8644971	416.0708255	407.4249537	373.9853288	426.2087394	334.1335853
1800	2100	294.7430726	279.9166978	396.6806608	381.8516588	194.1272555	221.4049126	318.6247544	362.5379311	268.307247	261.3949454	241.4902453	278.0526741	368.599451	380.9014092	285.1042347	334.5627697	397.9878889	399.5517732	395.0031174	359.0680051	401.5574189	344.0698898
2100	2400	273.6467655	272.9066202	381.6071565	357.7057666	187.5929007	206.8288153	318.76124	338.5483144	247.361275	255.785713	216.9344088	263.3306709	350.7026049	344.2190886	280.1879517	270.0491255	379.1374283	392.4598098	350.4255048	332.9351473	395.7907434	355.8965669
2400	2700	270.9065615	268.6299845	355.5865471	343.9224567	177.9547719	199.6735877	299.6924836	325.553215	229.6963212	230.4749633	206.1393134	253.7190622	341.730102	345.1769405	260.5152601	282.1955194	369.5286281	351.078705	336.1353703	321.0016253	377.9774612	303.2814261
2700	3000	231.4363402	231.3423954	310.424486	316.3024948	161.5807181	189.8728928	254.0230973	291.5276137	198.2475132	208.1977492	199.8084802	232.3706732	321.876915	317.6724057	240.8905863	272.5224772	339.8082774	325.3667486	307.8009749	281.4601622	340.669971	305.7919747
3000	3300	223.7711568	225.4015695	287.8161556	277.3816226	133.9580893	188.6110864	233.0064784	267.3158301	187.6201757	198.5319597	222.1131977	227.4238366	318.8369365	322.2157811	269.053989	285.5236635	278.8594555	282.1906358	303.7429098	235.0814029	301.1381002	245.1749716
3300	3600	227.2145911	223.8129336	293.45465	260.2423434	154.9092799	172.3395653	251.6878948	276.0344755	190.4242884	181.1282812	219.8292607	217.6201059	281.7455874	296.5991564	249.1793846	229.8058728	253.355135	264.0566252	274.6224487	247.230447	263.3338758	251.0386991
