start[seconds]	end[kBq/cc]	NAC.L	NAC.R	Striatum.L	Striatum.R	ACC.L	ACC.R	mPFC.L	mPFC.R	MCortex.L	MCortex.R	oFC.L	oFC.R	Midbrain.L	Midbrain.R	VTA.L	VTA.R	Thal.L	Thal.R	DMS.R	DMS.L	VLS.R	VLS.L
0	10	1.92E-08	1.90E-08	1.03E-07	6.81E-05	0.019233784	0.014991111	0.010964871	0.015165412	0.002456709	0.014684003	0.055495488	0.039046385	1.84E-11	1.84E-11	2.29E-12	2.19E-12	-1.18E-07	-1.17E-07	2.50E-05	1.13E-07	-6.56E-07	-6.05E-07
10	20	14.32224681	71.6534989	25.45211102	17.97840937	12.02915855	9.551102828	56.33522541	24.61311387	29.49358434	11.79760418	38.89516813	21.06786657	38.39158794	49.44441372	39.25634316	39.94694003	20.67358146	24.17974439	15.63312186	27.22554644	13.47227138	27.65651623
20	30	209.1713733	158.0180997	159.0029114	181.5307556	104.7571704	160.5720086	232.0511297	246.596492	130.717082	149.3888341	119.9067575	161.9549524	221.63769	268.8577291	180.74691	186.8413212	242.8867537	211.9059903	175.668377	149.1178908	209.3065354	172.5497102
30	40	184.836839	210.985234	224.9138084	190.1573256	103.4316572	192.1256891	240.116796	256.7269034	156.4746652	194.3488325	167.2728573	225.1652326	290.176747	288.9804744	235.5931362	283.0020987	293.9912412	247.804195	197.8243904	261.247566	146.4688797	237.569076
40	50	199.0515056	217.6486319	196.0566465	221.3069628	181.0716717	128.1077134	244.5679981	212.4437812	219.8414081	185.7262608	202.7051901	168.4944985	302.1621218	340.7013576	252.0531138	214.8032482	272.0217237	302.2449673	217.8155987	186.5367888	218.8159208	181.6323554
50	60	245.9807425	221.7457913	239.4804076	232.218893	134.1007329	156.0061912	229.0394004	202.552064	207.1822702	202.5525889	226.4927543	196.6324877	261.9877712	393.8747832	268.8768821	223.3683897	313.5794943	288.9256509	239.9324881	248.3162317	194.1805267	248.5083688
60	80	265.9737825	259.4424991	261.4992218	266.0546531	179.0911278	215.0459097	289.9959896	270.149245	207.1562955	220.6044275	224.0813887	239.8713184	350.8837244	315.834578	299.3187671	298.4243766	303.0797966	327.2717101	242.2038196	285.9050787	293.1365469	259.8142254
80	100	257.0982044	221.8938856	257.2323829	264.3582536	190.5852003	183.0071861	320.8012568	280.1301584	226.0752911	238.0984562	228.2569006	226.2010814	331.1076868	350.3148091	284.0083409	292.4855953	331.5008623	321.9898118	245.8908006	236.5817341	280.791381	299.8903348
100	120	188.9194346	254.4849777	257.2697386	272.5925866	178.1366527	164.2169946	295.8196044	300.6166939	232.624719	236.8375843	244.313704	242.0719647	358.3311708	363.8521289	284.7529009	315.6273848	333.4760264	360.3005574	254.6601077	230.5977078	292.1781495	288.9864867
120	140	204.5228536	275.6759886	272.5378762	283.4634191	219.99878	230.6020043	269.3413863	273.5488067	252.1175339	273.1677774	229.2311683	269.0386906	337.1382337	400.7627462	306.17129	264.840456	370.4381852	346.4617523	290.8188724	262.0178734	273.4483044	281.346394
140	160	226.958211	298.4282666	271.4755808	254.8309916	183.6426422	241.1759555	257.4996635	287.8235113	263.0083986	266.2746815	230.3359824	282.4129049	377.21746	318.7817879	308.8385855	305.5253703	383.5530589	347.8942221	228.6339956	258.251721	252.7910119	293.4424417
160	180	308.2043839	326.4634225	273.2732882	274.7940836	196.9899735	190.6498544	305.015415	283.6737618	258.7957223	261.1259577	239.6361942	245.4848869	343.0405283	412.624503	310.7654076	293.3251614	324.4480369	349.3145654	252.266524	253.8976218	311.194141	300.3681181
180	240	268.8530662	267.0414542	287.0718698	289.9559208	202.5534069	233.2031279	315.8359928	304.7665656	253.8420764	280.4892795	258.2231148	256.0791243	357.0210541	357.7482118	332.1570142	328.9515139	343.4347234	352.8446704	282.3767284	301.1374214	309.3531084	305.5520958
240	300	292.1680197	274.9722774	295.56303	309.2821611	234.1429975	242.2825013	347.4749591	341.7782046	263.5556324	270.0394894	267.1914475	275.8126811	372.8125469	386.1756862	342.9636835	307.5407712	360.8940311	380.9010793	287.0510971	299.9860342	358.7931172	324.1779798
300	360	272.5529207	269.8959433	294.0089897	304.6424047	215.0410191	236.9811474	316.2673297	322.4787546	275.3473497	271.9491725	261.1474008	282.1240833	390.7247537	368.2126636	319.4369188	303.9796916	356.5524778	370.5729399	312.1621329	288.4654733	323.6254365	325.3079025
360	420	285.5090081	285.7170211	303.1215955	313.8867672	238.2159967	239.1243727	342.803591	347.6589953	278.7583647	303.3266975	275.3401488	278.4595361	377.1590608	391.3850162	304.7590046	299.7439179	361.3576398	383.256927	300.8662732	285.807904	332.6091063	344.6608557
420	480	258.2590199	329.3465824	307.6856775	314.5102257	252.6779045	230.5880273	319.2776013	354.8359088	276.0678441	302.5187457	272.9143258	271.0118219	377.2803665	367.2582035	313.8696709	339.414152	379.3701583	353.6307792	313.6416932	304.9610318	341.9111152	337.5417937
480	540	313.9312593	292.4880958	310.769128	309.0936438	244.5466801	244.101229	328.8757713	334.9104923	288.4799431	292.7537753	276.3913178	285.2380751	366.3402331	383.3633749	311.1151347	315.217374	392.2502043	397.2202375	302.2454126	318.5945775	323.4962279	324.5569792
540	660	318.7845199	296.9052916	317.4459066	327.0415467	238.6022195	244.7561362	370.359973	365.9692606	292.3306438	295.1834039	286.4037801	305.3162263	368.9716066	406.0731685	313.7837093	321.8415398	391.0637137	406.2641957	322.9095675	322.0344242	333.3702882	316.1016779
660	780	317.8516874	314.993997	334.8875952	327.1340878	247.0917157	259.0670973	370.9359867	352.3663392	301.3420835	310.9710675	304.2609718	283.0896527	418.2557126	371.6347536	303.9967975	335.0880553	395.3419479	407.0373809	316.3318957	329.5170332	346.8764279	368.2355841
780	900	308.2221978	314.9905514	331.6255394	329.7237059	253.250033	284.9790794	360.6270876	352.5893535	296.8396451	317.9590275	292.2538008	309.5414811	394.2306238	389.4642096	317.1216562	345.5549226	401.3460629	422.5807748	327.6921179	345.0307317	343.9305773	356.0977683
900	1020	303.1768806	317.729997	351.3871333	351.2846299	257.690937	276.9918404	381.7431251	362.6880901	309.5195745	316.673179	288.0411784	300.364502	391.8404835	422.4448608	307.8289614	319.695392	411.8179709	412.075996	351.9469002	360.6450349	367.0645562	383.5990342
