start[seconds]	end[kBq/cc]	NAC.L	NAC.R	Striatum.L	Striatum.R	ACC.L	ACC.R	mPFC.L	mPFC.R	MCortex.L	MCortex.R	oFC.L	oFC.R	Midbrain.L	Midbrain.R	VTA.L	VTA.R	Thal.L	Thal.R	DMS.R	DMS.L	VLS.R	VLS.L
1020	1140	281.3445476	334.9616499	328.7022893	329.3182379	263.0328148	271.195194	386.1993105	369.9194305	304.5675671	332.0628987	306.2089188	296.6460223	405.7728908	403.4937168	326.8037208	301.6346471	385.7116875	401.0083326	326.0884845	333.5089922	326.9272736	344.8848181
1140	1260	324.5128318	303.4313348	356.7285907	333.0018793	246.5192722	274.5084866	352.1523867	359.0398104	300.5557456	322.6238147	283.7217193	318.5966398	380.587408	387.0149347	283.6467379	308.3512199	381.0220579	409.6575935	328.9005274	374.3838155	339.3085133	394.6876946
1260	1380	313.6806643	302.1431874	339.6386596	325.274952	249.3698908	266.3248838	406.0500368	391.7744757	305.4553447	309.6990915	291.3888909	301.6645291	374.6700234	414.0503797	273.865974	339.3439341	360.6928469	408.4046353	304.1502055	352.2348829	342.7366302	349.4722831
1380	1500	286.5449867	322.4335684	324.3712415	330.1165015	243.5622928	264.7475638	341.0224676	361.7969073	297.2853402	318.8887757	261.8983596	297.4647291	360.0910839	348.7038437	295.5590361	297.202636	400.6826269	400.3061552	309.0303193	319.1405482	369.1712031	353.402483
1500	1800	298.7401411	294.5806248	328.5399012	325.9693604	216.4232534	243.1207467	352.9718175	371.398437	288.4884066	301.6992467	256.0169122	282.4928274	349.7205992	362.3321184	289.5123696	279.3446254	373.4382627	384.6990662	311.8519213	338.75801	368.2318413	365.0630182
1800	2100	293.739756	282.8984728	311.2828613	312.444881	206.8702363	254.6706712	336.9689339	322.8346472	269.6040208	283.7634086	255.4306724	274.3193772	337.640592	339.2332957	262.4650266	268.8606635	332.8704282	356.2162889	299.99821	319.5161244	345.8484467	321.7051378
2100	2400	278.7589725	269.057945	293.1155732	300.3920731	216.5255338	240.060259	317.3446221	311.5190231	253.1531912	272.3025342	255.233775	275.1284365	304.3920246	312.0055388	237.2275551	246.0858335	318.3936174	350.3064702	275.2203773	303.5171482	333.787957	312.4666541
2400	2700	280.9292112	259.4651585	260.184445	272.3196323	215.4256892	223.3264313	292.4378603	290.4644782	245.2393114	247.0437237	226.6140378	245.814686	271.7036575	286.4042486	236.5415963	223.0940929	312.0709679	302.1456637	281.1005229	259.9931872	271.2269392	260.5579061
2700	3000	244.2812222	221.707263	254.7469115	255.7147508	170.0496326	192.7924624	264.2345909	264.1590338	224.132028	228.9801997	190.54245	226.4179491	243.6564464	260.1224306	198.7904991	205.4871384	296.1417629	273.6524918	238.3521967	274.741505	281.5818005	261.0693847
3000	3300	205.2418498	239.2447844	240.0519772	241.7998541	170.7633426	210.0166055	242.0468146	240.0643779	203.7017236	230.4679686	191.5300633	217.397938	238.57238	266.4863127	194.9407158	197.1411237	262.7353185	280.5056104	234.8625603	254.5394029	251.7679752	262.9777548
3300	3600	200.1021486	201.8725491	208.9799106	224.464674	166.5717223	175.9092212	238.5412472	256.6345482	188.3631036	199.7204874	185.8891028	206.0990046	206.2018033	230.6097209	161.553756	180.1416811	243.1747438	234.5934474	232.4555138	212.3618818	241.256692	233.0959453
