start[seconds]	end[kBq/cc]	AIF
0	10	0.002173732
10	20	775.1593358
20	30	418.748943
30	40	235.7275285
40	50	160.9486975
50	60	105.7715011
60	80	96.70762282
80	100	95.57206103
100	120	64.01447406
120	140	77.15114762
140	160	64.08305597
160	180	66.84563941
180	240	53.41557327
240	300	56.09021979
300	360	54.89187072
360	420	57.85915749
420	480	60.0391988
480	540	63.98406792
540	660	59.97227185
660	780	58.80159481
780	900	65.00844383
900	1020	64.30148279
1020	1140	62.60178155
1140	1260	55.46039838
1260	1380	53.67036996
1380	1500	55.92132436
1500	1800	47.54390188
1800	2100	44.39447392
2100	2400	45.00848356
2400	2700	43.3817504
2700	3000	41.14881013
3000	3300	36.16233437
3300	3600	32.46149855
